,AGENCY,TYPE,STREET NAME,POSTCODE,LIVING_AREA,ROOMS,LONGITUDE,LATITUDE,PRICE_LOG
81,2.0,1.0,Hoogstraat,5615,61.0,3.0,51.4392648,5.478633,7.824046010856292
82,2.0,1.0,Beukenlaan,5616,45.0,2.0,51.4392648,5.478633,7.1308988302963465
83,2.0,1.0,Schootsestraat,5616,100.0,5.0,51.4392648,5.478633,7.824046010856292
84,2.0,1.0,PCznHooftlaan,5611,75.0,3.0,51.4392648,5.478633,7.919356190660617
85,2.0,1.0,Stratumseind,5611,31.0,1.0,51.4392648,5.478633,7.600902459542082
86,2.0,1.0,StPlechelmuspad,5645,71.0,3.0,51.4392648,5.478633,8.006367567650246
87,2.0,1.0,Limburglaan,5616,52.0,2.0,51.4392648,5.478633,7.824046010856292
88,2.0,1.0,Limburglaan,5616,51.0,2.0,51.4392648,5.478633,7.600902459542082
89,2.0,1.0,Welschapsedijk79,5652,75.0,3.0,51.4392648,5.478633,7.495541943884256
90,2.0,1.0,DeRegent188,5611,91.0,3.0,51.4392648,5.478633,7.7406644019172415
91,2.0,3.0,Mathijsenlaan,5644,165.0,7.0,51.4392648,5.478633,8.202482446576537
92,2.0,1.0,LeSagetenBroeklaan,5615,63.0,2.0,51.4392648,5.478633,7.170119543449628
93,2.0,1.0,Kerkakkerstraat,5616,55.0,2.0,51.4392648,5.478633,7.313220387090301
94,2.0,1.0,Hertogstraat,5611,100.0,3.0,51.4392648,5.478633,7.170119543449628
95,2.0,1.0,Vrijstraat,5611,90.0,2.0,51.4392648,5.478633,8.160518247477505
